rental_id,duration,start_date,start_station_name,end_station_name,starting_latitude,starting_longitude,docks_count,ending_latitude,ending_longitude
57939582,3840,2016-09-02 16:44:00.000000 UTC,"Fisherman's Walk West, Canary Wharf","Wapping Lane, Wapping",51.50623,-0.02296,36,51.504749,-0.057544
58051558,3840,2016-09-06 12:36:00.000000 UTC,"Queen's Gate, Kensington Gardens","Palace Gate, Kensington Gardens",51.5017154373867,-0.1798541843891,21,51.50204238,-0.184400221
58049165,7680,2016-09-06 10:46:00.000000 UTC,"Princedale Road , Holland Park","Craven Street, Strand",51.50646524,-0.208486599,20,51.50810309,-0.12602103
57916646,2820,2016-09-01 23:41:00.000000 UTC,"Strand, Strand","Somerset House, Strand",51.512582,-0.1150573,35,51.509943,-0.117619
57895729,2820,2016-09-01 15:26:00.000000 UTC,"Palace Gardens Terrace, Notting Hill","Green Park Station, Mayfair",51.50860544,-0.193764092,37,51.506613,-0.142844
58073413,2820,2016-09-06 20:54:00.000000 UTC,"Baylis Road, Waterloo","Furze Green, Bow",51.50144456,-0.110699309,22,51.519265,-0.021345
57901000,2820,2016-09-01 17:19:00.000000 UTC,"Coomer Place, West Kensington","Triangle Car Park, Hyde Park",51.4835707,-0.20203870000000279,27,51.50645179,-0.170279555
57949316,2820,2016-09-02 20:02:00.000000 UTC,"Selby Street, Whitechapel","Driffield Road, Old Ford",51.521905,-0.063386,17,51.534137,-0.037366
57916253,2820,2016-09-01 23:07:00.000000 UTC,"Clifton Road, Maida Vale","Vicarage Crescent, Battersea",51.52557531,-0.179592915,22,51.47287627,-0.176267008
57892717,1800,2016-09-01 13:49:00.000000 UTC,"Chepstow Villas, Notting Hill","Moor Street, Soho",51.51213691,-0.201554966,26,51.51352755,-0.130110822
57959469,1800,2016-09-03 11:10:00.000000 UTC,"Calshot Street , King's Cross","Bankside Mix, Bankside",51.53136059,-0.117069978,24,51.50581776,-0.100186337
57929703,1800,2016-09-02 11:27:00.000000 UTC,"Turquoise Island, Notting Hill","Lots Road, West Chelsea",51.51431171,-0.200838199,21,51.4795738,-0.17903854
57902601,1800,2016-09-01 17:40:00.000000 UTC,"Triangle Car Park, Hyde Park","Hyde Park Corner, Hyde Park",51.50645179,-0.170279555,27,51.50311799,-0.153520935
57896292,1800,2016-09-01 15:42:00.000000 UTC,"Turquoise Island, Notting Hill","Green Street, Mayfair",51.51431171,-0.200838199,21,51.51227622,-0.157436972
58003266,1800,2016-09-04 19:57:00.000000 UTC,"Tower Gardens , Tower","Carey Street, Holborn",51.50950627,-0.075459482,24,51.51501025,-0.112753217
57958680,1800,2016-09-03 10:48:00.000000 UTC,"Waterloo Place, St. James's","Triangle Car Park, Hyde Park",51.50663341,-0.131773845,20,51.50645179,-0.170279555
57906760,1800,2016-09-01 18:25:00.000000 UTC,"Theobald's Road , Holborn","Grove End Road, St. John's Wood",51.52059681,-0.116688468,26,51.53088935,-0.176770502
57962674,1800,2016-09-03 12:24:00.000000 UTC,"Dock Street, Wapping","Queen Street 2, Bank",51.5097860151,-0.0681619805156,30,51.511246,-0.093051
57991179,1800,2016-09-04 14:39:00.000000 UTC,"Derry Street, Kensington","Little Argyll Street, West End",51.50136494,-0.191462381,18,51.51449962,-0.141423695
57893929,1800,2016-09-01 14:29:00.000000 UTC,"Southerton Road, Hammersmith","Crabtree Lane, Fulham",51.494499,-0.228188,38,51.48294452,-0.219346128
57935472,1800,2016-09-02 14:45:00.000000 UTC,"Notting Hill Gate Station, Notting Hill","Albert Gate, Hyde Park",51.50935342,-0.196422,30,51.50295379,-0.158456089
58023783,1800,2016-09-05 17:16:00.000000 UTC,"Thorndike Close, West Chelsea","Millennium Hotel, Mayfair",51.48089844,-0.183853573,25,51.5109192966489,-0.1511263847351
57961210,1800,2016-09-03 11:53:00.000000 UTC,"Kennington Oval, Oval","Hyde Park Corner, Hyde Park",51.483145,-0.113134,33,51.50311799,-0.153520935
57905100,1800,2016-09-01 18:07:00.000000 UTC,"Dunston Road , Haggerston","Ada Street, Hackney Central",51.53658514,-0.075885686,43,51.53571683,-0.060291813
57936556,5640,2016-09-02 15:21:00.000000 UTC,"Notting Hill Gate Station, Notting Hill","Abbotsbury Road, Holland Park",51.50935342,-0.196422,30,51.501391,-0.205991
57847708,780,2016-08-31 11:18:00.000000 UTC,"Bow Road Station, Bow","Buxton Street 1, Shoreditch",51.527058,-0.025296,42,51.521776,-0.068856
58065250,780,2016-09-06 18:10:00.000000 UTC,"Imperial Road, Sands End","Lexham Gardens, Kensington",51.47514228,-0.187278987,37,51.49586666,-0.191933711
57977563,780,2016-09-03 23:39:00.000000 UTC,"Brick Lane Market, Shoreditch","Leonard Circus , Shoreditch",51.52261762,-0.071653961,24,51.52469624,-0.084439283
57874993,780,2016-09-01 00:07:00.000000 UTC,"Thorndike Close, West Chelsea","Simpson Street, Clapham Junction",51.48089844,-0.183853573,25,51.47084722,-0.17070367
58034496,780,2016-09-05 20:54:00.000000 UTC,"Albert Gate, Hyde Park","Lancaster Gate , Bayswater",51.50295379,-0.158456089,34,51.511654,-0.179668
57925610,780,2016-09-02 09:01:00.000000 UTC,"Wormwood Street, Liverpool Street","Red Lion Street, Holborn",51.51615461,-0.082422399,16,51.51824,-0.11655
