rental_id,duration,start_date,start_station_name,end_station_name,starting_latitude,starting_longitude,docks_count,ending_latitude,ending_longitude
115417083,780,2021-12-06 18:08:00.000000 UTC,"Bank of England Museum, Bank","Waterloo Station 3, Waterloo",51.51444134,-0.087587447,16,51.50379168,-0.11282408
116964967,1020,2022-02-09 18:44:00.000000 UTC,"Doric Way , Somers Town","Blackfriars Station, St. Paul's",51.5288338,-0.132250369,50,51.511934,-0.10307894
111127702,660,2021-08-10 17:25:00.000000 UTC,"Bruton Street, Mayfair","Sedding Street, Sloane Square",51.51073687,-0.144165239,21,51.49313,-0.156876
105045142,600,2021-01-20 17:30:00.000000 UTC,"Harrowby Street, Marylebone","Charlbert Street, St. John's Wood",51.5173721,-0.1642075,16,51.53430039,-0.1680743
116818492,540,2022-02-04 18:05:00.000000 UTC,"Endsleigh Gardens, Euston","Wren Street, Holborn",51.52683806,-0.130504336,32,51.524564,-0.116279
119795943,19200,2022-05-06 17:47:00.000000 UTC,"Maida Vale, Maida Vale","Wellington Road, St. John's Wood",51.529857,-0.18348604,39,51.53304322,-0.172528678
123478257,540,2022-08-01 18:55:00.000000 UTC,"Gloucester Road (Central), South Kensington","Exhibition Road, Knightsbridge",51.49646288,-0.183289032,19,51.499917,-0.174554
111671477,1560,2021-08-24 18:41:00.000000 UTC,"Soho Square , Soho","Queen's Gate, Kensington Gardens",51.51563144,-0.132328837,57,51.5017154373867,-0.1798541843891
120875105,720,2022-06-02 17:45:00.000000 UTC,"Malet Street, Bloomsbury","Whitehall Place, Strand",51.52168078,-0.130431727,49,51.50654321,-0.123179697
113903521,540,2021-10-20 17:46:00.000000 UTC,"Holborn Circus, Holborn","Waterloo Station 3, Waterloo",51.51795029,-0.108657431,40,51.50379168,-0.11282408
127820627,1013,2023-01-09 18:06:00.000000 UTC,"Curlew Street, Shad Thames","Southampton Place, Holborn",51.50227992,-0.074189225,21,51.51760685,-0.121328408
113324673,3480,2021-10-05 17:11:00.000000 UTC,"Cadogan Close, Victoria Park","Gascoyne Road, Victoria Park",51.54211855,-0.028941601,22,51.541515,-0.038557746
114568594,840,2021-11-08 17:56:00.000000 UTC,"Albert Bridge Road, Battersea Park","Claverton Street, Pimlico",51.47439218,-0.163347594,20,51.48483991,-0.138089062
118744267,1200,2022-04-08 17:52:00.000000 UTC,"Westminster Pier, Westminster","Wellington Street , Strand",51.501513,-0.12382322,27,51.51175646,-0.119643424
119119504,720,2022-04-18 17:08:00.000000 UTC,"Hibbert Street, Battersea","Holden Street, Battersea",51.46517078,-0.18038939,36,51.4687905,-0.158230901
117949638,900,2022-03-15 18:36:00.000000 UTC,"Warren Street Station, Euston","George Place Mews, Marylebone",51.52443845,-0.138019439,26,51.51689296,-0.158249929
107362107,900,2021-04-26 18:10:00.000000 UTC,"Green Park Station, Mayfair","Vicarage Gate, Kensington",51.506613,-0.142844,28,51.50472376,-0.192538767
121785823,780,2022-06-23 17:19:00.000000 UTC,"Cartwright Gardens , Bloomsbury","Park Road (Baker Street), The Regent's Park",51.52635795,-0.125979294,21,51.52451738,-0.158963647
123064505,720,2022-07-22 18:26:00.000000 UTC,"Old Quebec Street, Marylebone","Chepstow Villas, Notting Hill",51.51457763,-0.158264483,16,51.51213691,-0.201554966
105645218,900,2021-02-26 18:47:00.000000 UTC,"Shepherd's Bush Road North, Shepherd's Bush","Greyhound Road, Hammersmith",51.5015946,-0.222293381,34,51.48606206,-0.214428378
111669539,1500,2021-08-24 18:15:00.000000 UTC,"Earnshaw Street , Covent Garden","Hop Exchange, The Borough",51.51611887,-0.128585022,18,51.50462759,-0.091773776
126817731,385,2022-11-14 18:41:00.000000 UTC,"Ferndale Road, Brixton","Teversham Lane, Stockwell",51.464019,-0.11578197,30,51.47614939,-0.1232585
