rental_id,duration,start_date,start_station_name,end_station_name,starting_latitude,starting_longitude,docks_count,ending_latitude,ending_longitude
127942860,1458,2023-01-15 23:59:00.000000 UTC,"Ontario Street, Elephant & Castle","Philpot Street, Whitechapel",51.49652013,-0.101384068,15,51.515256,-0.058641
127942861,1219,2023-01-15 23:59:00.000000 UTC,"Marylebone Lane, Marylebone","Woodstock Grove, Shepherd's Bush",51.51475963,-0.148105415,24,51.50403821,-0.217400093
127942862,2109,2023-01-15 23:59:00.000000 UTC,"High Holborn , Covent Garden","Drury Lane, Covent Garden",51.516226,-0.124826,20,51.51477076,-0.12221963
127942863,2346,2023-01-15 23:59:00.000000 UTC,"Walmer Road, Avondale","Sirdar Road, Avondale",51.510101,-0.211358,24,51.51092871,-0.214594781
127942858,325,2023-01-15 23:58:00.000000 UTC,"Barons Court Station, West Kensington","Humbolt Road, Fulham",51.49021762,-0.215087092,32,51.48321729,-0.211860644
127942859,2109,2023-01-15 23:58:00.000000 UTC,"High Holborn , Covent Garden","Drury Lane, Covent Garden",51.516226,-0.124826,20,51.51477076,-0.12221963
127942851,1137,2023-01-15 23:57:00.000000 UTC,"Upper Bank Street, Canary Wharf","Jubilee Crescent, Cubitt Town",51.503083,-0.017676,36,51.493381,-0.007542
127942855,758,2023-01-15 23:57:00.000000 UTC,"Kingsway Southbound, Strand","Allington Street, Victoria",51.513875,-0.117774,33,51.496863,-0.1429434
127942856,161,2023-01-15 23:57:00.000000 UTC,"Gloucester Road (Central), South Kensington","Lexham Gardens, Kensington",51.49646288,-0.183289032,19,51.49586666,-0.191933711
127942852,1061,2023-01-15 23:57:00.000000 UTC,"Little Argyll Street, West End","Drayton Gardens, West Chelsea",51.51449962,-0.141423695,21,51.487196,-0.179369
127942847,134,2023-01-15 23:57:00.000000 UTC,"Old Street Station, St. Luke's","Finsbury Leisure Centre, St. Luke's",51.52548,-0.089659871,29,51.52600832,-0.096317627
127942853,851,2023-01-15 23:57:00.000000 UTC,"Snowsfields, London Bridge","Kennington Road Post Office, Oval",51.50215353,-0.083632928,31,51.48478899,-0.110683213
127942848,1179,2023-01-15 23:57:00.000000 UTC,"Upper Bank Street, Canary Wharf","Jubilee Crescent, Cubitt Town",51.503083,-0.017676,36,51.493381,-0.007542
127942849,123507,2023-01-15 23:57:00.000000 UTC,"Upper Bank Street, Canary Wharf","Jubilee Crescent, Cubitt Town",51.503083,-0.017676,36,51.493381,-0.007542
127942854,382,2023-01-15 23:57:00.000000 UTC,"Bethnal Green Garden, Bethnal Green","London Fields, Hackney Central",51.52568,-0.055312,24,51.54119,-0.058826101
127942857,227,2023-01-15 23:57:00.000000 UTC,"Coram Street, Bloomsbury","Hampstead Road, Euston",51.524,-0.12640984,29,51.52554222,-0.138231303
127942850,1900,2023-01-15 23:57:00.000000 UTC,"Gloucester Road Station, South Kensington","Phillimore Gardens, Kensington",51.49418566,-0.18267094,15,51.49960695,-0.197574246
127942846,118571,2023-01-15 23:56:00.000000 UTC,"Westferry DLR, Limehouse","Aston Street, Stepney",51.509303,-0.025996,41,51.516,-0.038775
